Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,560050123,1,3.1,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/2/2020,AQS,560050123,1,0.7,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/3/2020,AQS,560050123,1,3.1,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/4/2020,AQS,560050123,1,3.2,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/5/2020,AQS,560050123,1,2.3,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/6/2020,AQS,560050123,1,4.7,ppb,4,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/7/2020,AQS,560050123,1,3.2,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/8/2020,AQS,560050123,1,2.1,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/9/2020,AQS,560050123,1,1.1,ppb,1,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/10/2020,AQS,560050123,1,3.9,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/11/2020,AQS,560050123,1,3.1,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/12/2020,AQS,560050123,1,2.9,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
1/13/2020,AQS,560050123,1,3,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
