Unit,Year,Month,Traffic_count,Traffic_location,Rec_visits,NonRec_visits
DETO,2020,1,1243,Entrance Lane,2565,56
DETO,2020,2,1176,Entrance Lane,2515,45
DETO,2020,3,1041,Entrance Lane,2625,0
DETO,2020,4,0,Entrance Lane,0,0
DETO,2020,5,4740,Entrance Lane,11953,0
DETO,2020,6,21365,Entrance Lane,68981,263
DETO,2020,7,33550,Entrance Lane,108772,197
DETO,2020,8,35159,Entrance Lane,113593,305
DETO,2020,9,27550,Entrance Lane,68726,305
DETO,2020,10,12133,Entrance Lane,29908,246
DETO,2020,11,,Entrance Lane,,
DETO,2020,12,,Entrance Lane,,
FOLA,2020,1,697,Main Gate,871,31
FOLA,2020,2,605,Main Gate,756,28
FOLA,2020,3,724,Main Gate,905,31
FOLA,2020,4,751,Main Gate,940,30
FOLA,2020,5,1250,Main Gate,1563,31
FOLA,2020,6,2097,Main Gate,2993,30
FOLA,2020,7,2950,Main Gate,5125,31
FOLA,2020,8,2588,Main Gate,4220,31
FOLA,2020,9,2634,Main Gate,4335,30
FOLA,2020,10,1435,Main Gate,2725,31
FOLA,2020,11,,Main Gate,,
FOLA,2020,12,,Main Gate,,
FOBU,2020,1,0,Picnic Area,39,15
FOBU,2020,2,0,Picnic Area,79,23
FOBU,2020,3,0,Picnic Area,206,12
FOBU,2020,4,0,Picnic Area,14,10
FOBU,2020,5,166,Picnic Area,106,15
FOBU,2020,6,320,Picnic Area,1793,18
FOBU,2020,7,424,Picnic Area,3428,23
FOBU,2020,8,397,Picnic Area,3060,30
FOBU,2020,9,442,Picnic Area,2790,44
FOBU,2020,10,293,Picnic Area,1274,28
FOBU,2020,11,,Picnic Area,,
FOBU,2020,12,,Picnic Area,,
GRTE,2020,1,5092,Buffalo Entrance,51648,121802
GRTE,2020,2,5176,Buffalo Entrance,55197,122542
GRTE,2020,3,6051,Buffalo Entrance,51455,96662
GRTE,2020,4,0,Buffalo Entrance,0,0
GRTE,2020,5,21103,Buffalo Entrance,123756,87584
GRTE,2020,6,61457,Buffalo Entrance,468201,106267
GRTE,2020,7,90644,Buffalo Entrance,755766,130093
GRTE,2020,8,88368,Buffalo Entrance,710198,152848
GRTE,2020,9,83181,Buffalo Entrance,603789,124152
GRTE,2020,10,,Buffalo Entrance,,
GRTE,2020,11,,Buffalo Entrance,,
GRTE,2020,12,,Buffalo Entrance,,
GRTE,2020,1,92938,Gros Ventre Junction,,
GRTE,2020,2,95187,Gros Ventre Junction,,
GRTE,2020,3,76182,Gros Ventre Junction,,
GRTE,2020,4,0,Gros Ventre Junction,,
GRTE,2020,5,82947,Gros Ventre Junction,,
GRTE,2020,6,155674,Gros Ventre Junction,,
GRTE,2020,7,218868,Gros Ventre Junction,,
GRTE,2020,8,231477,Gros Ventre Junction,,
GRTE,2020,9,203780,Gros Ventre Junction,,
GRTE,2020,10,,Gros Ventre Junction,,
GRTE,2020,11,,Gros Ventre Junction,,
GRTE,2020,12,,Gros Ventre Junction,,
GRTE,2020,1,1017,JDR (Southbound),,
GRTE,2020,2,1362,JDR (Southbound),,
GRTE,2020,3,1465,JDR (Southbound),,
GRTE,2020,4,0,JDR (Southbound),,
