Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/2/2020,AQS,560019991,1,0.044,ppm,41,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/3/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/4/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/5/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/6/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/7/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/8/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/9/2020,AQS,560019991,1,0.044,ppm,41,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/10/2020,AQS,560019991,1,0.052,ppm,48,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/11/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/12/2020,AQS,560019991,1,0.043,ppm,40,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/13/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
1/15/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
