Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,560010006,5,3,ug/m3 SC,3,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/10/2020,AQS,560010006,5,10,ug/m3 SC,9,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/16/2020,AQS,560010006,5,26,ug/m3 SC,24,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/22/2020,AQS,560010006,5,10,ug/m3 SC,9,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/28/2020,AQS,560010006,5,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/3/2020,AQS,560010006,5,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/9/2020,AQS,560010006,5,3,ug/m3 SC,3,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/15/2020,AQS,560010006,5,8,ug/m3 SC,7,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/21/2020,AQS,560010006,5,17,ug/m3 SC,16,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/27/2020,AQS,560010006,5,13,ug/m3 SC,12,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/4/2020,AQS,560010006,5,8,ug/m3 SC,7,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/10/2020,AQS,560010006,5,10,ug/m3 SC,9,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/16/2020,AQS,560010006,5,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/22/2020,AQS,560010006,5,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/28/2020,AQS,560010006,5,7,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/3/2020,AQS,560010006,5,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/9/2020,AQS,560010006,5,19,ug/m3 SC,18,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/15/2020,AQS,560010006,5,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/21/2020,AQS,560010006,5,15,ug/m3 SC,14,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/27/2020,AQS,560010006,5,11,ug/m3 SC,10,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/3/2020,AQS,560010006,5,8,ug/m3 SC,7,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/9/2020,AQS,560010006,5,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/15/2020,AQS,560010006,5,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/21/2020,AQS,560010006,5,10,ug/m3 SC,9,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/27/2020,AQS,560010006,5,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/2/2020,AQS,560010006,5,14,ug/m3 SC,13,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/8/2020,AQS,560010006,5,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/14/2020,AQS,560010006,5,13,ug/m3 SC,12,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/20/2020,AQS,560010006,5,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/26/2020,AQS,560010006,5,11,ug/m3 SC,10,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/1/2020,AQS,560010006,55,3,ug/m3 SC,3,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/7/2020,AQS,560010006,55,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/13/2020,AQS,560010006,55,8,ug/m3 SC,7,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/19/2020,AQS,560010006,55,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/25/2020,AQS,560010006,55,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/31/2020,AQS,560010006,55,4,ug/m3 SC,4,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/6/2020,AQS,560010006,55,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/12/2020,AQS,560010006,55,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/18/2020,AQS,560010006,55,10,ug/m3 SC,9,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/24/2020,AQS,560010006,55,16,ug/m3 SC,15,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/1/2020,AQS,560010006,55,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/7/2020,AQS,560010006,55,11,ug/m3 SC,10,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/13/2020,AQS,560010006,55,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/19/2020,AQS,560010006,55,4,ug/m3 SC,4,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/25/2020,AQS,560010006,55,5,ug/m3 SC,5,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/31/2020,AQS,560010006,55,7,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/6/2020,AQS,560010006,55,12,ug/m3 SC,11,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/12/2020,AQS,560010006,55,3,ug/m3 SC,3,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/18/2020,AQS,560010006,55,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/24/2020,AQS,560010006,55,6,ug/m3 SC,6,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/30/2020,AQS,560010006,55,16,ug/m3 SC,15,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/6/2020,AQS,560010006,55,11,ug/m3 SC,10,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/12/2020,AQS,560010006,55,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/18/2020,AQS,560010006,55,17,ug/m3 SC,16,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/24/2020,AQS,560010006,55,4,ug/m3 SC,4,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/30/2020,AQS,560010006,55,14,ug/m3 SC,13,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/5/2020,AQS,560010006,55,13,ug/m3 SC,12,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/11/2020,AQS,560010006,55,9,ug/m3 SC,8,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/17/2020,AQS,560010006,55,17,ug/m3 SC,16,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/23/2020,AQS,560010006,55,11,ug/m3 SC,10,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/29/2020,AQS,560010006,55,17,ug/m3 SC,16,Laramie SLAM site,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/1/2020,AQS,560010008,3,5,ug/m3 SC,5,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/2/2020,AQS,560010008,3,4,ug/m3 SC,4,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/3/2020,AQS,560010008,3,6,ug/m3 SC,6,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/4/2020,AQS,560010008,3,5,ug/m3 SC,5,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/5/2020,AQS,560010008,3,5,ug/m3 SC,5,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/6/2020,AQS,560010008,3,14,ug/m3 SC,13,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/7/2020,AQS,560010008,3,3,ug/m3 SC,3,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/8/2020,AQS,560010008,3,4,ug/m3 SC,4,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/9/2020,AQS,560010008,3,11,ug/m3 SC,10,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/10/2020,AQS,560010008,3,7,ug/m3 SC,6,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/11/2020,AQS,560010008,3,4,ug/m3 SC,4,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/12/2020,AQS,560010008,3,4,ug/m3 SC,4,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/13/2020,AQS,560010008,3,5,ug/m3 SC,5,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/14/2020,AQS,560010008,3,8,ug/m3 SC,7,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/15/2020,AQS,560010008,3,5,ug/m3 SC,5,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/16/2020,AQS,560010008,3,16,ug/m3 SC,15,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/17/2020,AQS,560010008,3,12,ug/m3 SC,11,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/18/2020,AQS,560010008,3,11,ug/m3 SC,10,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/19/2020,AQS,560010008,3,3,ug/m3 SC,3,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/20/2020,AQS,560010008,3,37,ug/m3 SC,34,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/21/2020,AQS,560010008,3,6,ug/m3 SC,6,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
1/22/2020,AQS,560010008,3,4,ug/m3 SC,4,Pete Lien Downwind PM10,1,100,81102,PM10 Total 0-10um STP,29660,"Laramie, WY",56,Wyoming,1,Albany,41.4945,-105.5619444
