Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,560010006,1,1.4,ug/m3 LC,6,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/10/2020,AQS,560010006,1,3.7,ug/m3 LC,15,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/16/2020,AQS,560010006,1,5.5,ug/m3 LC,23,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/22/2020,AQS,560010006,1,2,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/28/2020,AQS,560010006,1,2.4,ug/m3 LC,10,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/3/2020,AQS,560010006,1,1.6,ug/m3 LC,7,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/9/2020,AQS,560010006,1,1.3,ug/m3 LC,5,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/15/2020,AQS,560010006,1,2.4,ug/m3 LC,10,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/21/2020,AQS,560010006,1,3.7,ug/m3 LC,15,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/4/2020,AQS,560010006,1,1.8,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/10/2020,AQS,560010006,1,2.5,ug/m3 LC,10,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/16/2020,AQS,560010006,1,3.4,ug/m3 LC,14,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/3/2020,AQS,560010006,1,4.5,ug/m3 LC,19,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/9/2020,AQS,560010006,1,4.8,ug/m3 LC,20,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/15/2020,AQS,560010006,1,2.7,ug/m3 LC,11,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/21/2020,AQS,560010006,1,4.7,ug/m3 LC,20,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/27/2020,AQS,560010006,1,2.7,ug/m3 LC,11,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/3/2020,AQS,560010006,1,2.7,ug/m3 LC,11,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/9/2020,AQS,560010006,1,2.2,ug/m3 LC,9,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/15/2020,AQS,560010006,1,2.4,ug/m3 LC,10,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/21/2020,AQS,560010006,1,2,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/27/2020,AQS,560010006,1,2.7,ug/m3 LC,11,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/2/2020,AQS,560010006,1,3.8,ug/m3 LC,16,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/8/2020,AQS,560010006,1,1.8,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/14/2020,AQS,560010006,1,3.3,ug/m3 LC,14,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/20/2020,AQS,560010006,1,2.6,ug/m3 LC,11,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/26/2020,AQS,560010006,1,4.1,ug/m3 LC,17,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/1/2020,AQS,560010006,11,1.3,ug/m3 LC,5,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/7/2020,AQS,560010006,11,1.1,ug/m3 LC,5,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/13/2020,AQS,560010006,11,2,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/19/2020,AQS,560010006,11,2.8,ug/m3 LC,12,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/25/2020,AQS,560010006,11,1.6,ug/m3 LC,7,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/31/2020,AQS,560010006,11,1.8,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/6/2020,AQS,560010006,11,1.3,ug/m3 LC,5,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/12/2020,AQS,560010006,11,1.9,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
2/18/2020,AQS,560010006,11,3.1,ug/m3 LC,13,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/7/2020,AQS,560010006,11,3.5,ug/m3 LC,15,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
3/13/2020,AQS,560010006,11,2,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
